id;name;source_id;node_id;lat;long;country_code;is_bothDirection;lat_mean;length_km;long_mean;max_pressure_bar;num_compressor;start_year;Capacity_GWh_h;diameter_mm
INET_PL_469;Mortara_Cervignano_2;['INET_PL_469'];['INET_N_751', 'INET_N_744'];[45.372148, 45.252239];[9.424874, 8.737499];['IT', 'IT'];0.0;45.31219350000001;55.396943498191504;9.081186500000001;75.0;0.0;1983;22.36183333333333;1219.0
INET_PL_471;Laneuvelotte_Morelmaison;['INET_PL_471'];['INET_N_455', 'INET_N_462'];[48.43, 48.7289];[5.819, 6.295];['FR', 'FR'];0.0;48.57945;48.29343614680519;6.057;75.0;0.0;1983;19.05442835249041;1124.0505747126433
INET_PL_473;Laneuvelotte_Strasbourg;['INET_PL_473'];['INET_N_457', 'INET_N_462'];[48.58, 48.7289];[7.766, 6.295];['FR', 'FR'];0.0;48.65445;109.34630258786088;7.0305;75.0;0.0;1983;7.5210199004975085;721.0089552238804
INET_PL_4750;NEL_10;['INET_PL_475'];['INET_N_278', 'INET_N_253'];[54.151055, 53.0268];[13.655607, 9.022361];['DE', 'DE'];0.0;53.5889275;330.3950848128028;11.338984;100.0;0.0;1983;29.433;1422.0
INET_PL_4751;NEL_11;['INET_PL_475'];['INET_N_253', 'INET_N_242'];[53.0268, 52.613673];[9.022361, 8.493598];['DE', 'DE'];0.0;52.8202365;58.093189185402366;8.757979500000001;100.0;0.0;1983;29.433;1422.0
INET_PL_4780;NETRA_10;['INET_PL_478'];['INET_N_274', 'INET_N_254'];[53.66, 53.074963];[7.404, 8.171742];['DE', 'DE'];0.0;53.3674815;82.64811232231186;7.787871;75.0;0.0;1983;21.700000000000003;1200.0
INET_PL_4781;NETRA_11;['INET_PL_478'];['INET_N_254', 'INET_N_253'];[53.074963, 53.0268];[8.171742, 9.022361];['DE', 'DE'];0.0;53.0508815;57.12453625740767;8.5970515;97.38577267354398;0.0;1983;21.700000000000003;1200.0
INET_PL_4782;NETRA_12;['INET_PL_478'];['INET_N_253', 'INET_N_246'];[53.0268, 52.82964];[9.022361, 11.112766];['DE', 'DE'];0.0;52.928219999999996;141.8636924747695;10.0675635;97.38577267354398;0.0;1983;21.700000000000003;1200.0
INET_PL_482;Netzkupplung_Drohne;['INET_PL_482'];['INET_N_242', 'INET_N_233'];[52.613673, 52.429729];[8.493598, 8.354677];['DE', 'DE'];0.0;52.521701;22.516923508100135;8.4241375;90.0;0.0;1983;5.0;600.0
INET_PL_484;Nordschwarzwaldleitung;['INET_PL_484'];['INET_N_143', 'INET_N_147'];[48.799, 48.953];[9.01, 8.24];['DE', 'DE'];0.0;48.876000000000005;58.875815304293255;8.625;80.0;0.0;1983;5.0;600.0
INET_PL_486;NOWAL;['INET_PL_486'];['INET_N_242', 'INET_N_233'];[52.613673, 52.429729];[8.493598, 8.354677];['DE', 'DE'];0.0;52.521701;22.516923508100135;8.4241375;100.0;0.0;1983;14.733333333333334;1000.0
INET_PL_488;NWP;['INET_PL_488'];['INET_N_564', 'INET_N_560'];[55.043776, 54.842619];[-7.248705, -5.778247];['GB', 'GB'];0.0;54.9431975;96.57191532414534;-6.513476000000001;85.11582833168468;0.0;1983;5.208333333333332;450.0
INET_PL_490;Oltrona_Bizzarone;['INET_PL_490'];['INET_N_764', 'INET_N_762'];[45.834135, 45.756957];[8.946413, 8.973609];['IT', 'IT'];0.0;45.795546;8.839788600461713;8.960011;24.0;0.0;1983;8.333333333333332;305.0
INET_PL_4920;OPAL_Nord_10;['INET_PL_492'];['INET_N_278', 'INET_N_235'];[54.151055, 52.4483075];[13.655607, 13.9567212];['DE', 'DE'];0.0;53.29968125;190.45059904872093;13.8061641;100.0;0.0;1983;28.666666666666664;1400.0
INET_PL_4921;OPAL_Nord_11;['INET_PL_492'];['INET_N_235', 'INET_N_214'];[52.4483075, 52.07784];[13.9567212, 13.539383];['DE', 'DE'];0.0;52.263073750000004;50.05184857784196;13.7480521;100.0;0.0;1983;28.666666666666664;1400.0
INET_PL_4950;OPAL_Sued0;['INET_PL_495'];['INET_N_214', 'INET_N_207'];[52.07784, 51.766];[13.539383, 13.685];['DE', 'DE'];0.0;51.92192;36.09564473618733;13.612191500000002;100.0;0.0;1983;28.666666666666664;1400.0
INET_PL_4951;OPAL_Sued1;['INET_PL_495'];['INET_N_207', 'INET_N_176'];[51.766, 50.645421];[13.685, 13.359861];['DE', 'DE'];0.0;51.205710499999995;126.68422453467142;13.5224305;100.0;0.0;1983;28.666666666666664;1400.0
INET_PL_498;Oricola_Ciciliano;['INET_PL_498'];['INET_N_697', 'INET_N_703'];[41.957909, 42.065074];[12.94136, 13.049619];['IT', 'IT'];0.0;42.011491500000005;14.904189615317344;12.9954895;75.0;0.0;1983;6.25;660.0
INET_PL_500;Oricola_Sulmona;['INET_PL_500'];['INET_N_702', 'INET_N_703'];[42.050263, 42.065074];[13.929251, 13.049619];['IT', 'IT'];0.0;42.057668500000005;72.66269679929769;13.489435;75.0;0.0;1983;22.36183333333333;1219.0
INET_PL_5020;Oviedo_Tuy0;['INET_PL_502'];['INET_N_370', 'INET_N_374'];[43.399, 43.489646];[-5.847, -8.2193451];['ES', 'ES'];0.0;43.444323;191.8435654504799;-7.03317255;75.0;0.0;1983;7.5210199004975085;450.48627450980393
INET_PL_5021;Oviedo_Tuy1;['INET_PL_502'];['INET_N_374', 'INET_N_358'];[43.489646, 42.155953];[-8.2193451, -8.632403];['ES', 'ES'];0.0;42.8227995;152.12514812336786;-8.425874050000001;75.0;0.0;1983;7.5210199004975085;
INET_PL_505;Palagiano_Bernalda_1;['INET_PL_505'];['INET_N_681', 'INET_N_683'];[40.412126, 40.578453];[16.688712, 17.038207];['IT', 'IT'];0.0;40.4952895;34.87400252892669;16.863459499999998;70.0;0.0;1983;1.7800000000000011;508.0
INET_PL_507;Palagiano_Bernalda_2;['INET_PL_507'];['INET_N_681', 'INET_N_683'];[40.412126, 40.578453];[16.688712, 17.038207];['IT', 'IT'];0.0;40.4952895;34.87400252892669;16.863459499999998;75.0;0.0;1983;17.060199999999995;1066.8
